Date,Month,Year,SiteNumber,SiteName,Length_meters,Treatment,Time,WaterElevation,Weather,WaterTemp,Visibility_feet,Visibility_meters,SurveyMethod,VideoOrObserver,LFRcount,WRcount,SRcount,FRcount,Troutcount,AdultPredatorFish,OtherJuvenileFish,Comments,Calculated Flow
5/16/2018,5,2018,204,Bourbon,301,Control,10:45,15,2,54,10,3.047851265,snorkel downstream,observer,0,0,0,290,0,0,13,1 sculpin  12 ss,9226
5/29/2018,5,2018,204,Bourbon,301,Control,11:40,,1,54,12,3.657421518,snorkel downstream,observer,0,0,0,233,321,0,2,2 TP,9491
6/15/2018,6,2018,204,Bourbon,301,Control,10:50,16,1,53,10,3.047851265,snorkel downstream,observer,0,0,0,23,43,0,0,,10584
6/25/2018,6,2018,204,Bourbon,301,Control,13:00,18,1,54,10,3.047851265,snorkel downstream,observer,12,0,0,90,111,4,0,4 adult trout,12063
7/11/2018,7,2018,204,Bourbon,301,Control,10:20,19,1,55,12,3.657421518,snorkel downstream,observer,0,0,0,7,152,0,0,,12994
7/24/2018,7,2018,204,Bourbon,301,Control,11:30,,1,56,12,3.657421518,snorkel downstream,observer,0,0,0,2,40,0,0,,13044
8/9/2018,8,2018,204,Bourbon,301,Control,11:15,17,3,57,12,3.657421518,snorkel downstream,observer,0,0,0,0,27,0,0,,11199
8/23/2018,8,2018,204,Bourbon,301,Control,13:45,15.5,1,54,12,3.657421518,snorkel downstream,observer,0,0,0,1,34,0,0,,9541
9/5/2018,9,2018,204,Bourbon,301,Control,10:14,15,1,55,12,3.657421518,snorkel downstream,observer,0,0,0,0,13,0,0,,8714
9/18/2018,9,2018,204,Bourbon,301,Control,11:30,13.5,1,54,12,3.657421518,snorkel downstream,observer,4,0,0,3,90,0,0,,8019
10/3/2018,10,2018,204,Bourbon,301,Control,11:15,1,2,58,10,3.047851265,snorkel downstream,observer,2,0,0,24,38,0,1,1 Hardhead,7269
10/17/2018,10,2018,204,Bourbon,301,Control,10:35,13,1,55,10,3.047851265,snorkel downstream,observer,15,10,0,1,107,0,1,1 Sclupin,7298
12/10/2018,12,2018,204,Bourbon,301,Control,10:40,8,1,57,11,3.352636391,snorkel downstream,observer,7,29,0,0,40,0,0,Visibility reduced durning snorkel,4018
1/2/2019,1,2019,204,Bourbon,301,Control,10:00,,1,48,5,1.523925632,snorkel downstream,observer,0,20,0,520,2,2,0,2 AD LFR,4027
1/29/2019,1,2019,204,Bourbon,301,Control,10:20,,1,49,7,2.133495885,snorkel downstream,observer,0,7,0,124,0,0,2,2 Sculp,3249
2/3/2016,2,2016,206,Clear Creek,221,Control,10:15,,2,48,9,2.743066138,snorkel downstream,observer,0,24,0,227,0,0,0,,3290
2/5/2016,2,2016,206,Clear Creek,221,Control,10:30,,1,47,6,1.828710759,snorkel downstream,observer,0,9,0,261,0,0,0,,3310
2/5/2016,2,2016,206,Clear Creek,221,Control,11:10,,1,47,6,1.828710759,snorkel upstream,observer,0,8,0,356,1,0,0,,3200
2/25/2016,2,2016,206,Clear Creek,221,Control,13:33,,1,51,4,1.219140506,snorkel downstream,observer,0,0,0,27,222,0,500,500 ciprinids,3260
3/2/2016,3,2016,206,Clear Creek,221,Control,13:35,,1,49,10,3.047851265,snorkel downstream,observer,0,0,0,58,40,0,271,40 roach  230 hard head  1 sunfish,3260
4/12/2016,4,2016,206,Clear Creek,221,Control,11:20,,4,56,10,3.047851265,snorkel downstream,observer,0,0,0,230,55,0,470,240 PM  230 HH,5100
4/25/2016,4,2016,206,Clear Creek,221,Control,12:00,,1,56,10,3.047851265,snorkel downstream,observer,0,0,0,77,160,0,702,700 Hardhead  2 Sac Suckers ,5030
5/3/2016,5,2016,206,Clear Creek,221,Control,12:35,,2,58,10,3.047851265,snorkel downstream,observer,0,0,0,125,627,0,1569, 1063 HH  1 sculpin 503 sac suckers  2 sunfish ,5530
5/11/2016,5,2016,206,Clear Creek,221,Control,13:20,,1,59,5,1.523925632,snorkel downstream,observer,48,0,0,240,102,0,0,,6530
5/12/2016,5,2016,206,Clear Creek,221,Control,13:45,,1,59,10,3.047851265,snorkel downstream,observer,0,0,0,0,338,0,1012,410 PM  320 HH  4 TSS  260 SS  18 TP,6560
6/14/2016,6,2016,206,Clear Creek,221,Control,10:10,,2,61,10,3.047851265,snorkel downstream,observer,1,0,0,68,74,0,1659,9 TSS  1600 HH  50 SS,8790
6/29/2016,6,2016,206,Clear Creek,221,Control,11:00,,1,60,6,1.828710759,snorkel downstream,observer,0,0,0,8,300,0,5525,4000 HARDHE  1500 SACSUC  25 THSPST,9020
7/28/2016,7,2016,206,Clear Creek,221,Control,12:50,,1,68,10,3.047851265,Snorkel Downstream,Observer,11,0,0,0,111,27,3278,1800 HH  770 SS  3 TP  705 PM 27 AdultPM/HH,10554
8/15/2016,8,2016,206,Clear Creek,221,Control,11:50,,1,62,8,2.438281012,Snorkel Downstream,Observer,0,0,0,25,65,0,2002,1000 HH  1000 SS 2 TSS,10530
8/23/2016,8,2016,206,Clear Creek,221,Control,12:00,,1,64,10,3.047851265,Snorkel Downstream,Observer,10,0,0,0,9,0,994,900 HH 80 SS 14 PM,10513
9/8/2016,9,2016,206,Clear Creek,221,Control,13:05,,1,64,10,3.047851265,Snorkel Downstream,Observer,17,0,0,0,18,0,1069,730 HH  192 SS  132 PM  15 tule P.,9546
9/15/2016,9,2016,206,Clear Creek,221,Control,13:50,,1,60,10,3.047851265,Snorkel Downstream,Observer,47,0,0,21,20,0,1340,685 HH  500 PM  150 SS  5 Tule P.,9041
9/27/2016,9,2016,206,Clear Creek,221,Control,13:20,,1,54,10,3.047851265,Snorkel Downstream,Observer,0,0,0,10,14,0,856,545 HH  264 PM  32 SS  10 TSS  5 Tule P.,7975
10/11/2016,10,2016,206,Clear Creek,221,Control,12:15,,1,58,10,3.047851265,Snorkel Downstream,Observer,0,1,0,20,0,0,137,100PM  2 SS  30 HH  5 Tule P.,7012
10/27/2016,10,2016,206,Clear Creek,221,Control,12:45,,4,58,2.5,0.761962816,Snorkel Downstream,Observer,0,0,0,0,1,0,9,6 PM  2 TSS  1 SS,5535
11/17/2016,11,2016,206,Clear Creek,221,Control,12:25,,1,55,10,3.047851265,Snorkel Downstream,Observer,9,1,0,0,1,0,735,510 HH  155 PM  50 SS  20 Tule P.,5040
11/29/2016,11,2016,206,Clear Creek,221,Control,12:55,,1,52,10,3.047851265,Snorkel Downstream,Observer,0,0,0,0,0,0,360,340 HH  20 PM,5035
12/20/2016,12,2016,206,Clear Creek,221,Control,13:00,,3,48,10,3.047851265,Snorkel Downstream,Observer,0,0,0,20,0,0,60,60HH,5072
6/19/2017,6,2017,206,Clear Creek,221,Control,10:40,,2,54,3,0.914355379,snorkel downstream,observer,0,0,0,0,45,0,26,6 HH  20 WESMOS,10303
7/25/2017,7,2017,206,Clear Creek,221,Control,9:45,1.2,1,61,10,3.047851265,snorkel downstream,observer,153,0,0,0,133,0,780,500 HH  100 PM  110 SS  30 TP  40 TSS,10666
8/10/2017,8,2017,206,Clear Creek,221,Control,11:45,14,1,66,10,3.047851265,snorkel downstream,observer,179,0,0,3,67,0,1087,536 HH  166 SS  315 PM  70 TP,10509
8/24/2017,8,2017,206,Clear Creek,221,Control,11:35,,1,63,10,3.047851265,snorkel downstream,observer,408,0,0,0,39,0,1700,500HH  200SS  300TP  700PM,10644
9/5/2017,9,2017,206,Clear Creek,221,Control,10:50,,1,62,10,3.047851265,snorkel downstream,observer,185,3,0,0,160,0,908,618HH  88SS  197PM  5TP,9114
9/19/2017,9,2017,206,Clear Creek,221,Control,11:00,,1,58,10,3.047851265,snorkel downstream,observer,161,1,0,0,40,0,1518,1100 HH 340 SS 28 TSS 50 PM,9042
10/4/2017,10,2017,206,Clear Creek,221,Control,10:40,,1,51,12,3.657421518,snorkel downstream,observer,47,16,0,0,5,0,1283,80 SS  1200 HH  2TSB  1TP,7924
10/17/2017,10,2017,206,Clear Creek,221,Control,10:45,0.92,1,52,10,3.047851265,snorkel downstream,observer,1,0,0,0,0,0,524,250 HH  270 PM  1 TP  1 TSS  1 SS  1 Sculpin,8026
11/2/2017,11,2017,206,Clear Creek,221,Control,12:00,,3,53,10,3.047851265,snorkel downstream,observer,0,0,0,0,0,0,332,282 PM  50 HH  1 Adult Trout,8075
11/14/2017,11,2017,206,Clear Creek,221,Control,10:10,,1,52,10,3.047851265,snorkel downstream,observer,0,0,0,0,0,0,105,30 TSS  75 HH,5383
11/28/2017,11,2017,206,Clear Creek,221,Control,11:00,,2,50,10,3.047851265,snorkel downstream,observer,0,0,0,0,0,0,125,125 PM,5000
12/15/2017,12,2017,206,Clear Creek,221,Control,11:30,,3,48,10,3.047851265,snorkel downstream,observer,0,0,0,0,0,0,112,110 HH  1 sculpin  1 tss,5030
12/26/2017,12,2017,206,Clear Creek,221,Control,11:00,,2,45,10,3.047851265,snorkel downstream,observer,0,0,0,0,0,0,1,1 pm,5072
1/11/2018,1,2018,206,Clear Creek,221,Control,12:30,,4,48,10,3.047851265,snorkel downstream,observer,0,0,0,0,0,0,3,3 pm,4088
1/22/2018,1,2018,206,Clear Creek,221,Control,10:35,,3,46,10,3.047851265,snorkel downstream,observer,0,0,0,0,0,0,0,,4052
2/7/2018,2,2018,206,Clear Creek,221,Control,10:00,,1,46,10,3.047851265,snorkel downstream,observer,0,0,0,240,0,0,32,32 PM,4010
2/21/2018,2,2018,206,Clear Creek,221,Control,12:00,,1,44,10,3.047851265,snorkel downstream,observer,0,10,0,252,15,0,52,52 PKM,3246
3/5/2018,3,2018,206,Clear Creek,221,Control,11:00,,1,47,10,3.047851265,snorkel downstream,observer,0,0,0,95,0,0,150,150 HH,3255
3/22/2018,3,2018,206,Clear Creek,221,Control,12:30,,2,48,1.5,0.45717769,snorkel downstream,observer,0,5,0,0,0,0,50,50 hardhead,3201
4/4/2018,4,2018,206,Clear Creek,221,Control,11:20,,3,54,10,3.047851265,snorkel downstream,observer,7,3,0,335,3,0,782,781 HH  1 rifscu,3258
4/17/2018,4,2018,206,Clear Creek,221,Control,11:10,,1,50,10,3.047851265,snorkel downstream,observer,3,0,0,290,41,0,380,300 HH  30 sacsuc  50PM,3285
4/30/2018,4,2018,206,Clear Creek,221,Control,12:50,,1,58,10,3.047851265,snorkel downstream,observer,33,1,0,246,20,0,492,480 HH  12 TSS,7058
5/15/2018,5,2018,206,Clear Creek,221,Control,13:36,,1,62,10,3.047851265,snorkel downstream,observer,6,0,0,345,53,0,552,550 PM (1 adult) 2 TP,8737
5/29/2018,5,2018,206,Clear Creek,221,Control,10:09,,1,57,12,3.657421518,snorkel downstream,observer,0,0,0,217,55,0,696,555 HH  2 TSB  12 TP  127 SS,9491
6/11/2018,6,2018,206,Clear Creek,221,Control,12:45,,1,62,12,3.657421518,snorkel downstream,observer,45,0,0,340,3,0,600,600 pm,9743
6/27/2018,6,2018,206,Clear Creek,221,Control,10:15,,1,58,12,3.657421518,snorkel downstream,observer,0,0,0,51,59,0,771,320 PM  1 HH  50 SS  400 minnows,12067
7/11/2018,7,2018,206,Clear Creek,221,Control,11:45,,1,62,12,3.657421518,snorkel downstream,observer,0,0,0,66,11,0,0,hundreds of PM  TSS  Suckers  TP,12994
7/24/2018,7,2018,206,Clear Creek,221,Control,12:28,,1,56,12,3.657421518,snorkel downstream,observer,0,0,0,0,46,1,304,1 adult PM  300 HH  4 PM,13044
8/9/2018,8,2018,206,Clear Creek,221,Control,12:20,,3,66,12,3.657421518,snorkel downstream,observer,0,0,0,83,128,0,426,204 HH  196 PM  26 TP,11199
8/24/2018,8,2018,206,Clear Creek,221,Control,9:55,,1,61,12,3.657421518,snorkel downstream,observer,6,0,0,56,68,0,421,330 HH  51 sacsuc  40 sacperch,9496
9/4/2018,9,2018,206,Clear Creek,221,Control,13:44,,1,62,12,3.657421518,snorkel downstream,observer,71,0,0,52,39,0,1000,300 HH  40 SACSUC  550 HH  110 TSS,9005
9/19/2018,9,2018,206,Clear Creek,221,Control,9:45,,1,62,12,3.657421518,snorkel downstream,observer,18,0,0,30,2,0,553,550 PM  3 SS,7621
10/3/2018,10,2018,206,Clear Creek,221,Control,10:45,,2,57,11,3.352636391,snorkel downstream,observer,9,0,0,29,43,0,505,250 Hardhead  20 Sucker 1 Adult Chinook,7269
10/30/2018,10,2018,206,Clear Creek,221,Control,13:00,,1,54,6,1.828710759,snorkel downstream,observer,0,0,0,0,2,0,106,106 TSS,6004
12/10/2018,12,2018,206,Clear Creek,221,Control,10:00,,1,53,3,0.914355379,snorkel downstream,observer,0,0,0,0,0,0,0,Did not snorkel,4018
1/29/2019,1,2019,206,Clear Creek,221,Control,9:50,,2,48,4,1.219140506,snorkel downstream,observer,0,0,0,20,0,0,210,210 HH Visibility only 1-2' at bottom of reach,3249
8/23/2016,8,2016,215,Cow Creek,467,Impact,11:00,,1,55,8,2.438281012,Snorkel Downstream,Observer,2,0,0,4,10,0,100,100 PM Potential impact site,10513
5/16/2018,5,2018,215,Cow Creek,467,Baseline,11:24,,2,54,10,3.047851265,snorkel downstream,observer,0,0,0,0,1,0,50,50 pm,9226
5/30/2018,5,2018,215,Cow Creek,467,Baseline,11:00,,1,56,10,3.047851265,snorkel downstream,observer,0,0,0,0,9,0,0,,9516
6/15/2018,6,2018,215,Cow Creek,467,Baseline,11:55,,1,55,10,3.047851265,snorkel downstream,observer,0,0,0,30,13,0,0,,10584
6/25/2018,6,2018,215,Cow Creek,467,Baseline,10:50,,1,54,10,3.047851265,snorkel downstream,observer,0,0,0,8,60,5,0,5 adult RT,12063
7/11/2018,7,2018,215,Cow Creek,467,Baseline,12:01,,1,57,12,3.657421518,snorkel downstream,observer,0,0,0,13,52,1,0,1 adult trout  1 adult WR,12994
7/23/2018,7,2018,215,Cow Creek,467,Baseline,11:07,,1,56,12,3.657421518,snorkel downstream,observer,0,0,0,219,48,0,5,5 SS,13070
8/9/2018,8,2018,215,Cow Creek,467,Baseline,9:50,,3,56,12,3.657421518,snorkel downstream,observer,0,0,0,25,126,0,0,,11199
9/5/2018,9,2018,215,Cow Creek,467,Baseline,11:55,,1,57,12,3.657421518,snorkel downstream,observer,2,0,0,1,117,0,695,670 HH  20 Dace  5 TSS,8714
9/18/2018,9,2018,215,Cow Creek,467,Baseline,10:00,,1,55,12,3.657421518,snorkel downstream,observer,8,3,0,9,187,0,427,100PM  15 Dace  5TSS  1SS  300HH  1 Sculpin,8019
10/3/2018,10,2018,215,Cow Creek,467,Baseline,11:10,,2,54,12,3.657421518,snorkel downstream,observer,35,0,0,0,99,0,45,PM,7269
10/17/2018,10,2018,215,Cow Creek,467,Baseline,12:24,,1,56,10,3.047851265,snorkel downstream,observer,3,112,0,0,65,0,0,,7298
6/25/2018,6,2018,203,Kapusta,291,Impact,12:15,,1,54,10,3.047851265,snorkel downstream,observer,8,0,0,20,34,0,26,25 HH  1 TSS,12063
7/7/2018,7,2018,203,Kapusta,291,Impact,10:20,,3,56,10,3.047851265,snorkel downstream,observer,1,0,0,0,99,0,0,,13008
7/11/2018,7,2018,203,Kapusta,291,Impact,13:30,,1,54,12,3.657421518,snorkel downstream,observer,0,0,0,55,103,0,0,PM  Suckers,12994
7/23/2018,7,2018,203,Kapusta,291,Impact,12:35,,1,57,12,3.657421518,snorkel downstream,observer,7,0,0,11,0,0,1,1 Rifscu,13070
8/23/2018,8,2018,203,Kapusta,291,Impact,13:00,,1,54,12,3.657421518,snorkel downstream,observer,2,0,0,0,111,0,101,100 PM  1 TSS,9541
9/5/2018,9,2018,203,Kapusta,291,Impact,10:50,,1,55,12,3.657421518,snorkel downstream,observer,0,0,0,0,7,0,0,,8714
9/18/2018,9,2018,203,Kapusta,291,Impact,12:45,,1,54,12,3.657421518,snorkel downstream,observer,0,0,0,200,20,0,0,,8019
10/3/2018,10,2018,203,Kapusta,291,Impact,12:15,,2,54,12,3.657421518,snorkel downstream,observer,10,0,0,0,55,0,0,,7269
10/17/2018,10,2018,203,Kapusta,291,Impact,9:00,,1,54,6,1.828710759,snorkel downstream,observer,0,0,0,0,55,0,163,163 Hardhead,7298
10/30/2018,10,2018,203,Kapusta,291,Impact,11:50,,1,54,10,3.047851265,snorkel downstream,observer,1,26,0,4,15,0,105,100 HH 5PM,6004
11/14/2018,11,2018,203,Kapusta,291,Impact,14:00,,2,57,5,1.523925632,snorkel downstream,observer,50,29,0,5,9,0,3,3 HH,4537
12/10/2018,12,2018,203,Kapusta,291,Impact,11:00,,1,57,11,3.352636391,snorkel downstream,observer,0,2,0,0,4,0,0,,4018
1/2/2019,1,2019,203,Kapusta,291,Impact,10:30,,1,48,5,1.523925632,snorkel downstream,observer,0,1,0,107,0,0,0,,4027
1/29/2019,1,2019,203,Kapusta,291,Impact,11:00,,1,49,5,1.523925632,snorkel downstream,observer,0,2,0,224,1,0,61,60 HH  1 TSS,3249
6/14/2017,6,2017,203,Kapusta,291,,10:45,,1,56,5,1.523925632,snorkel downstream,observer,0,0,0,0,0,0,500,numerous juvenile suckers,10031
4/30/2018,4,2018,203,Kapusta,291,Impact,10:40,,1,54,10,3.047851265,snorkel downstream,observer,0,0,0,8,0,0,105,100 HH  2 TP  3 TSS,7058
5/15/2018,5,2018,203,Kapusta,291,Impact,12:00,,1,55,10,3.047851265,snorkel downstream,observer,5,0,0,65,1,0,601,50 TSS  500 PM  1 Sculpin  50 WESMOS,8737
5/29/2018,5,2018,203,Kapusta,291,Impact,10:50,,1,53,12,3.657421518,snorkel downstream,observer,14,0,0,65,36,0,145,145 HH,9491
6/11/2018,6,2018,203,Kapusta,291,Impact,13:45,,1,55,12,3.657421518,snorkel downstream,observer,80,0,25,75,24,0,0,,9743
8/16/2016,8,2016,213,Kutras Lake,,Baseline,11:25,,1,55,8,2.438281012,Snorkel Downstream,Observer,0,0,0,0,0,0,0,,10483
8/24/2016,8,2016,213,Kutras Lake,,Baseline,11:00,,1,53,8,2.438281012,Snorkel Downstream,Observer,0,0,0,0,99,0,0,,10492
9/1/2016,9,2016,213,Kutras Lake,,Baseline,11:15,,1,54,8,2.438281012,Snorkel Downstream,Observer,0,0,0,0,20,0,0,,10039
11/15/2016,11,2016,213,Kutras Lake,,Baseline,12:20,,3,53,8,2.438281012,Snorkel Downstream,Observer,0,0,0,0,1,0,0,,5003
