record_id,author,year,title,type,journal,volume,issue,firstpage,lastpage,abstract,database,species,country,state,locality,latitude,longitude,research_type,ecosystem,biome,focus,hypothesis,superior_character,trophic_level
22,"Arteaga, Manuel A.; Delgado, Juan D.; Otto, Rudiger; Fernandez-Palacios, Jose M.; Arevalo, Jose R.",2009,"How do alien plants distribute along roads on oceanic islands? A case study in Tenerife, Canary Islands",journal,BIOLOGICAL INVASIONS,11,4,1071,1086,"Islands are paradigms of the pervasive spread of alien plants, but little work has been done assessing pattern and cause of the distribution of such plants in relation to roads on oceanic islands. We studied richness, composition, and distribution of alien plants and compared them with native species along roads on Tenerife (Canary Islands). We studied a single road transect that sampled two contrasting wind-facing aspects (leeward versus windward) and ran from coastal Euphorbia scrubland through thermophilous scrubland to Makaronesian laurel forest at the top of a mountainous massif. We evaluated the effects of elevation, aspect, distance to urban nuclei, and several road-edge features (including road-edge width and management-implying disturbance intensity), using regression models, analysis of variance, and multivariate ordination methods. Richness of both endemics and native nonendemics was explained by elevation (related to well-defined vegetation belts), steepness of the edge slope, and cover of rocky ground. Despite a short elevational gradient (0-650 m), we found clear altitudinal zonation by biogeographic origin of both nonendemic natives and aliens, and altitudinal distribution of aliens followed the same zonation as that of natives. Alien species' richness was related to management intensity determining edge disturbance, road-edge width, and distance to the nearest urban nuclei (propagule sources). Different variables explained distribution patterns of natives, endemics, and aliens along roadsides on leeward and windward aspects. Altitude and aspect also had a strong influence on the frequency of life strategies (woody species, annuals and biennial/perennial herbs) of roadside plant communities. Due to harsher environmental filters operating on the leeward aspect, alien species were distributed along the altitudinal gradient in apparent consistency with general biogeographical affinities. Tropical/subtropical taxa showed exponential decrease with increasing elevation, Mediterranean taxa showed a unimodal response (i.e., maximum richness at mid elevation, minimum at the extremes of the gradient), and temperate taxa showed linear increase with elevation. Native but nonendemic species followed analogous trends to those of aliens. This suggests climatic matching as a prerequisite for successful invasion of this topographically complex island. Other road traits, such as edge width, slope steepness, soil cover, and road-edge disturbance intensity may play a complementary role, at a more local scale, to shape the distribution of alien plants on these island roads.",Web of Science,Many,Canary Islands,Tenerife,Anaga massif,28.543965,-16.202259,Field - Observational,terrestrial,Chaparral/Shrublands,Fundamentals;Invasion Hyp.,Preadaptation to Climate,,primary
25,"Bailey, John P.; Bimova, Katerina; Mandak, Bohumil",2009,"Asexual spread versus sexual reproduction and evolution in Japanese Knotweed s.l. sets the stage for the Battle of the Clones""""",journal,BIOLOGICAL INVASIONS,11,5,1189,1203,"The invasion of NW Europe by a single clone of male-sterile Fallopia japonica var. japonica by purely vegetative reproduction has demonstrated that reproduction by seed and the genetic diversity associated with it may not be an essential feature of plant invasions, at least in the short term. What is less well known is that a significant proportion of the Japanese Knotweed s.l. involved is not F. japonica var. japonica, but the hybrid between it and F. sachalinensis-F. x bohemica. This hybrid is able to backcross to either parent with the potential to replace the missing male F. japonica; by the same process, the hybrid is generating the genetic diversity so conspicuously lacking in F. japonica. In terms of understanding the population structure in a particular country, it is important to be able to identify hybrids and putative back-crosses. We bring together a mixture of published and unpublished information to provide a comprehensive section on morphological and anatomical aids to identification. Regeneration of plants from stem and rhizome fragments varies by taxon, as do responses to control techniques, underlining the importance of correct identification of these plants. In this paper we look closely at this group of taxa, with special emphasis on the role played by hybridization, with an examination of the genetic make up of seedlings produced in the wild or by artificial hybridizations, and the implications that this will have on the future directions of the invasion process.",Web of Science,Fallopia japonica var. japonica; F. sachalinensis-F. x behemica,Europe; USA,Czech republic; UK; USA,,,,Field - Observational;Review,terrestrial,Urban;Old Field,Invasion Hyp.,Hybridization,,primary
26,"Banasiak, Stephen E.; Meiners, Scott J.",2009,Long term dynamics of Rosa multiflora in a successional system,journal,BIOLOGICAL INVASIONS,11,2,215,224,"Long term studies of invasion dynamics are critical in developing a more complete understanding of the factors that influence species spread. To address this issue, the dynamics of the non-native invasive plant, Rosa multiflora, were examined using a 40-year record of successional change. The roles of biotic and abiotic factors in regulating R. multiflora invasion were also assessed. The invasion showed an initial 9-year time lag, followed by a 20-year period of population expansion and an ultimate decline as succession progressed. During all phases of R. multiflora's invasion, there was continuous turnover within plots. Rainfall during the previous season was found to increase R. multiflora colonization during population expansion while tree species inhibited the invader's growth. During expansion and decline of R. multiflora, common associated species were often positively or negatively correlated with changes in R. multiflora cover. Though early population dynamics were regulated by propagule pressure, the major influence on R. multiflora late in succession was canopy closure. Although the invasion of this species was largely self-limiting in this system, the species is likely to persist within late successional systems and may require management intervention.",Web of Science,Rosa multiflora,USA,NJ,"Piedmont region, Buell-Small Succession Study",40.5,-74.5667,Field - Observational,terrestrial,Deciduous Forest,Fundamentals,,,primary
27,"Bangle, Dianne N.; Walker, Lawrence R.; Powell, Elizabeth Ann",2008,SEED GERMINATION OF THE INVASIVE PLANT BRASSICA TOURNEFORTII (SAHARA MUSTARD) IN THE MOJAVE DESERT,journal,WESTERN NORTH AMERICAN NATURALIST,68,3,334,342,"In the southwestern United States, Brassica tournefortii (Gouan) is a highly invasive plant that threatens native annuals. We conducted 5 experiments to help define the environmental limits for B. tournefortii germination. We found that this species germinates at a wide range of temperatures (16 degrees C to 32 degrees C), under moderate salt concentrations (up to 3.20 dS . m(-1)), in 24 hours of light or darkness, and after 10 weeks of submergence in water. These germination characteristics make B. tournefortii a potentially vigorous competitor of native annuals in the Mojave Desert. The fact that B. tournefortii can take advantage of and effectively reproduce in habitat altered by Tamarix spp. adds to management concerns for controlling this species. That B. tournefortii seeds remain viable after extended submergence, combined with our observation that B. tournefortii can float across large bodies of water with seed pods intact, indicates that this species is it highly successful invader and may be a threat to natural environments, including remote shoreline habitats. We can no longer assume that shoreline habitats experiencing little to no human contact will be safe from invasions initiated by humans.",Web of Science,Brassica tournefortii,United States,,Southwestern USA,,,Lab,terrestrial,Desert,Invasion Hyp.,Inherent Superiority,Broad Tolerances,primary
31,"Barto, E. Kathryn; Cipollini, Don",2009,Density-Dependent Phytotoxicity of Impatiens pallida Plants Exposed to Extracts of Alliaria petiolata,journal,JOURNAL OF CHEMICAL ECOLOGY,35,4,495,504,"Invasive plants are by definition excellent competitors, either indirectly through competition for resources or directly through allelopathic inhibition of neighboring plants. Although both forms of competition are commonly studied, attempts to explore the interactions between direct and indirect competition are rare. We monitored the effects of several doses of extracts of Alliaria petiolata, a Eurasian invader in North America, on the growth of Impatiens pallida, a North American native, at several planting densities. The density-dependent phytotoxicity model predicts that as plant density increases, individual plant size will decrease, unless a toxin is present in the soil. In this case, individual plant size is predicted to increase as plant density increases, as plants share a limited toxin dose. We tested this model using fractions of an A. petiolata extract enriched in flavonoids or glucosinolates, as well as a combined fraction. The flavonoid-enriched fraction and the combined fraction suppressed I. pallida growth but only when applied at a dose eight times higher than that expected in the field. When treated with a dose equivalent to estimated field exposure levels, I. pallida growth was not distinguishable from that of control plants that received no extract, showing that indirect competition for resources was more important for determining the growth of I. pallida than direct allelopathic inhibition by A. petiolata. This is an important reminder that, even though many plants have the demonstrated potential to exert strong allelopathic effects, those effects may not always be apparent when other forms of competition are considered as well.",Web of Science,Alliaria petiolata,USA,,,,,Lab,terrestrial,,Invasion Hyp.,Novel Weapons,,primary
33,"Bartomeus, Ignasi; Vila, Montserrat",2009,Breeding system and pollen limitation in two supergeneralist alien plants invading Mediterranean shrublands,journal,AUSTRALIAN JOURNAL OF BOTANY,57,2,109,115,"Many widely known invasive plants are well integrated into native plant-pollinator networks. Typically, these invaders have entomophilous flowers which are visited by a diverse array of pollinators. The type of breeding system and the role that pollination services play in the reproductive success of invasive plants have, however, received little attention. We studied the breeding system and pollen limitation of two entomophilous invasive plants, Carpobrotus affine acinaciformis and Opuntia stricta, in different Mediterranean coastal localities in north-eastern Spain. Both species are, to some degree self-compatible; however, because of frequent visitation, open pollination increased the seed set in both species by at least 50%. Whereas O. stricta showed no pollen limitation, some populations of C. aff. acinaciformis had a lower seed set in open-pollinated flowers than in flowers where supplementary hand-pollination ensured out-crossing. This local pollen limitation in C. aff. acinaciformis could be due to the low efficiency of its visitors (mainly beetles) or its hybrid status. On the basis of previous studies on Carpobrotus sp. hybrid complexes, we suggest that the variability among sites in the seed set of open-pollinated flowers is caused by different degrees of hybrid introgression. Not withstanding, we found the C. aff. acinaciformis seed sets studied were higher than those reported in other regions. Further research is needed to assess the invasion potential of these hybrids in Mediterranean shrublands.",Web of Science,Carpobrotus affine acinaciformis; Opuntia stricta,Spain,,,,,Field - Experimental,terrestrial,Chaparral/Shrublands,Invasion Hyp.,Other,,primary
34,"Basky, Zsuzsa; Magyar, D.",2009,Impact of indigenous aphids on development of the invasive common ragweed (Ambrosia artemisiifolia L.) in Hungary,journal,JOURNAL OF PEST SCIENCE,82,1,19,25,"The common ragweed, Ambrosia artemisiifolia is a widespread invasive weed species in Europe. In order to estimate the deteriorative effect of native arthropods on the invasive ragweed the effect of three indigenous aphid species on plant development and pollen production was studied. Common ragweed plants grown in a greenhouse were artificially infested with five apterous individuals of either Aphis fabae, Brachycaudus helichrysi or Myzus persicae at the 4-leaf stage. Feeding by all three aphid species over a 5-week period significantly reduced plant height, the number of male inflorescences, the length of racemes, pollen emission and plant dry mass. Brachycaudus helichrysi produced the largest colonies, followed by A. fabae and M. persicae. In a host plant choice test, B. helichrysi showed significant preference for ragweed over sunflower, whereas A. fabae preferred sunflower and M. persicae did not show any preference. In a Weld experiment, the growth rate of A. fabae on caged ragweed plants was similar to that in the greenhouse, but the final numbers of B. helichrysi and M. persicae after 30 days was ten and seven times lower than under greenhouse conditions, respectively. On exposed Weld plants, B. helichrysi was more abundant than other species. However, no aphid species affected the height or dry mass of either caged or exposed plants during a 30-day period. Under controlled conditions aphids effectively hampered development and pollen production of ragweed, however, under Hungarian Weld conditions the development of ragweed was much more dynamic, therefore no deleterious effect of aphid feeding occurred.",Web of Science,Ambrosia artemisiifolia ,Hungary,,,,,Field - Experimental,terrestrial,Grassland,Invasion Hyp.,Other,,primary
35,"Battaglia, Loretta L.; Denslow, Julie S.; Inczauskis, Jason R.; Baer, Sara G.",2009,Effects of native vegetation on invasion success of Chinese tallow in a floating marsh ecosystem,journal,JOURNAL OF ECOLOGY,97,2,239,246,"1. Interactions between resident and exotic species have been shown to control the biotic resistance of communities to invasion. With different life stages of the exotic species, each sequential interaction may dampen or strengthen previous ones, thereby influencing invasion success. 2. We assessed the effects of resident vegetation type on the arrival and performance of Triadica sebifera (Chinese tallow), a widespread invader in freshwater floating marshes, using a combination of field studies and glasshouse experiments. 3. Our results indicated that Triadica abundance was positively associated with native woody species, particularly the native actinorhizal shrub Morella cerifera (wax myrtle). Seed dispersal and germination of Triadica were generally low but suggestive that Morella has weak, facilitative effects on the spread of Triadica by channelling its dispersal by birds into shrub thickets and promoting germination upon arrival. Triadica seedling growth was greatest where light and total inorganic N were higher. Growth of Triadica trees was greater in marsh sites without Morella and did not exhibit any detectable responses to elevated N levels in substrates from Morella thickets. 4. Morella may facilitate the spread of Triadica in floating shrub communities, yet inhibit its growth once established. The few individuals that establish in herbaceous marshes grow faster and may therefore reach maturity sooner than in Morella shrub thickets. 5. Synthesis. Our work suggests that the net effects of facilitation and inhibition by native, resident species on exotics can influence invasion success. In this case, weak, facilitative effects operating in the arrival and establishment phases of invasion are not completely negated by subsequent negative interactions between the same species, enabling the invader to persist. Models that quantify the relative strength and cumulative effects of these interactions are needed to improve predictions of community invasibility.",Web of Science,Triadica sebifera,USA,Louisiana,Jean Lafitte Natl Historic Park,29.799,-90.123,Field - Experimental;Field - Observational;Greenhouse,estuarine,Wetland,Invasion Hyp.,Mutualism Facilitation;Other,,primary
37,"Beaumont, Linda J.; Gallagher, Rachael V.; Thuiller, Wilfried; Downey, Paul O.; Leishman, Michelle R.; Hughes, Lesley",2009,Different climatic envelopes among invasive populations may lead to underestimations of current and future biological invasions,journal,DIVERSITY AND DISTRIBUTIONS,15,3,409,420,"We explore the impact of calibrating ecological niche models (ENMs) using (1) native range (NR) data versus (2) entire range (ER) data (native and invasive) on projections of current and future distributions of three Hieracium species. H. aurantiacum, H. murorum and H. pilosella are native to Europe and invasive in Australia, New Zealand and North America. Differences among the native and invasive realized climatic niches of each species were quantified. Eight ENMs in BIOMOD were calibrated with (1) NR and (2) ER data. Current European, North American and Australian distributions were projected. Future Australian distributions were modelled using four climate change scenarios for 2030. The invasive climatic niche of H. murorum is primarily a subset of that expressed in its native range. Invasive populations of H. aurantiacum and H. pilosella occupy different climatic niches to those realized in their native ranges. Furthermore, geographically separate invasive populations of these two species have distinct climatic niches. ENMs calibrated on the realized niche of native regions projected smaller distributions than models incorporating data from species' entire ranges, and failed to correctly predict many known invasive populations. Under future climate scenarios, projected distributions decreased by similar percentages, regardless of the data used to calibrate ENMs; however, the overall sizes of projected distributions varied substantially. This study provides quantitative evidence that invasive populations of Hieracium species can occur in areas with different climatic conditions than experienced in their native ranges. For these, and similar species, calibration of ENMs based on NR data only will misrepresent their potential invasive distribution. These errors will propagate when estimating climate change impacts. Thus, incorporating data from species' entire distributions may result in a more thorough assessment of current and future ranges, and provides a closer approximation of the elusive fundamental niche.",Web of Science,Hieracium aurantiacum;Hieracium  murorum;Hieracium  pilosella ,,,,,,Theoretical/Modeling,terrestrial,,Invasion Hyp.,Preadaptation to Climate,,
38,"Becerra, Pablo I.; Bustamante, Ramiro O.",2008,The effect of herbivory on seedling survival of the invasive exotic species Pinus radiata and Eucalyptus globulus in a Mediterranean ecosystem of Central Chile,journal,FOREST ECOLOGY AND MANAGEMENT,256,9,1573,1578,"Herbivory may be an important factor affecting seedling survival of exotic species invading new habitats. We evaluated the effect of vertebrate herbivory on the seedling survival of two widely planted and invasive tree species (Pinus radiata and Eucalyptus globulus), in a Mediterranean-type ecosystem of central Chile. An important role of herbivory on seedling survival of these two species in their introduced ranges has previously been documented. However, this has mainly been evaluated in forest plantations where habitat and vegetation conditions differ from wild habitats in which invasion occurs. We planted seedlings with and without protection against vertebrate herbivores in different aspects (a mesic south-facing slope and a xeric north-facing slope) and vegetation cover (open sites and sites with patchy tree cover). We found that regardless of aspect or vegetation cover, herbivory, in this case mainly caused by exotic vertebrates, significantly and negatively affected seedling survival of both species. However, while the effect of herbivory on P. radiata was significant in every vegetation and habitat condition, for E. globulus, the effect of herbivory was significant only for open sites in the mesic habitat. These results suggest that, as observed in forestry plantations, vertebrate herbivory may constrain seedling establishment of these two exotic trees and potentially impede the invasion. However, the importance of herbivory in controlling exotic species may vary depending on the vegetation and habitat conditions in some species such as E. globulus. (C) 2008 Elsevier B.V. All rights reserved.",Web of Science,Pinus radiata; Eucalyptus globulus,Chile,,,-30.5,-70.5,Field - Experimental,terrestrial,Chaparral/Shrublands,Invasion Hyp.,Other,,primary
