date,time,channel_id,habitat_type,visibility_ft,depth_ft,distance_to_bank_ft,distance_to_cover_ft,cover_type,overhead,unembedded_cobble,distance to cobble_ft,velocity_fps,substrate,fish_type,fish_size,fish_number,comments
5/24/2018,NA,Bourbon Control,Pool,12,3.04,9.319999695,0,Large Woody Debris,NA,Yes,0,0.68,Cobble,Rainbow Trout/Steelhead,61-80mm,3,NA
5/24/2018,NA,Bourbon Control,Pool,12,3.04,9.319999695,0,Large Woody Debris,NA,Yes,0,0.68,Cobble,Fall Run Chinook,81-100mm,10,NA
5/24/2018,NA,Bourbon Control,Riffle,12,0.8,2.25,0,Undercut Bank,NA,Yes,7,0.68,Sand,Rainbow Trout/Steelhead,81-100mm,6,NA
5/24/2018,NA,Bourbon Control,Flatwater,12,2.12,5.5,0,Branches - Small Woody Debris,NA,Yes,3.5,0.72,Sand,Rainbow Trout/Steelhead,81-100mm,2,NA
5/24/2018,NA,Bourbon Control,Riffle,12,1.33,3.25,0,Large Woody Debris,NA,Yes,0,0.79,Cobble,Fall Run Chinook,81-100mm,6,NA
5/24/2018,NA,Bourbon Control,Riffle,12,0.92,3.25,0,Fine Woody Debris,NA,No,0,1.12,Sand,Fall Run Chinook,81-100mm,1,NA
5/24/2018,NA,Bourbon Control,Riffle,12,1.33,4.159999847,0,Cobble,NA,Yes,0,1.33,Cobble,Fall Run Chinook,81-100mm,6,NA
5/24/2018,NA,Bourbon Control,Pool,12,1.24,1.5,0,Branches - Small Woody Debris,NA,No,0,1.45,Sand,Rainbow Trout/Steelhead,81-100mm,2,NA
5/24/2018,NA,Bourbon Control,Flatwater,12,308,12.42000008,0,Fine Woody Debris,NA,Yes,9,1.9,Sand,Rainbow Trout/Steelhead,101-120mm,2,NA
5/24/2018,NA,Bourbon Control,Flatwater,12,3.08,12.42000008,0,Fine Woody Debris,NA,Yes,9,1.9,Sand,Fall Run Chinook,81-100mm,1,NA
5/24/2018,NA,Bourbon Control,Flatwater,12,3.08,12.42000008,0,Fine Woody Debris,NA,Yes,9,1.9,Sand,Rainbow Trout/Steelhead,81-100mm,3,NA
5/24/2018,NA,Bourbon Control,Riffle,12,2,4.579999924,1.5,Branches - Small Woody Debris,NA,Yes,0,2.99,Cobble,Fall Run Chinook,81-100mm,1,NA
5/24/2018,NA,Bourbon Control,Pool,12,3.2,11.31999969,3,Large Woody Debris,NA,Yes,0,4.59,Cobble,Rainbow Trout/Steelhead,>200mm,1,NA
8/29/2018,10:50:08am,Bourbon Control,Pool,10,0.88,1,42,Large Woody Debris,NA,No,0,0,Gravel,Winter Run Chinook,41-50mm,2,NA
8/29/2018,11:21:46am,Bourbon Control,Flatwater,10,1.25,3.25,0,Branches - Small Woody Debris,NA,Yes,0,0.1,Cobble,Rainbow Trout/Steelhead,51-60mm,1,NA
8/29/2018,11:02:45am,Bourbon Control,Pool,10,1.5,5.75,0,Fine Woody Debris,NA,Yes,2.92,0.17,Sand,Rainbow Trout/Steelhead,41-50mm,1,NA
8/29/2018,10:53:03am,Bourbon Control,Pool,10,1.5,5.75,0,Fine Woody Debris,NA,Yes,2.92,0.17,Sand,Rainbow Trout/Steelhead,51-60mm,6,NA
8/29/2018,11:49:33am,Bourbon Control,Pool,10,2.16,4,0.5,Aquatic Veg,NA,Yes,0,0.2,Cobble,Rainbow Trout/Steelhead,41-50mm,1,NA
8/29/2018,11:33:40am,Bourbon Control,Riffle,10,1.42,3.5,0,Fine Woody Debris,NA,Yes,0,0.3,Cobble,Rainbow Trout/Steelhead,41-50mm,2,NA
8/29/2018,11:28:23am,Bourbon Control,Riffle,10,1.42,4.75,0.660000026,Fine Woody Debris,NA,Yes,0,0.3,Cobble,Rainbow Trout/Steelhead,51-60mm,2,NA
8/29/2018,11:37:11am,Bourbon Control,Riffle,10,1.42,3.5,0,Fine Woody Debris,NA,Yes,0,0.3,Cobble,Rainbow Trout/Steelhead,51-60mm,1,NA
11/16/2018,11:49:01am,Bourbon Control,Pool,10,2.66,11,0.5,Aquatic Veg,NA,No,0,0,Sand,Rainbow Trout/Steelhead,141-160mm,1,NA
11/16/2018,11:36:11am,Bourbon Control,Pool,10,2.75,10,1,Branches - Small Woody Debris,NA,Yes,2.5,0.1,Gravel,Winter Run Chinook,41-50mm,15,NA
11/16/2018,11:41:29am,Bourbon Control,Pool,10,2.75,10,1,Branches - Small Woody Debris,NA,Yes,2.5,0.1,Gravel,Winter Run Chinook,61-80mm,30,NA
11/16/2018,11:44:51am,Bourbon Control,Pool,10,1.58,9.659999847,0.839999974,Branches - Small Woody Debris,NA,Yes,0,0.2,Cobble,Winter Run Chinook,61-80mm,1,NA
11/16/2018,11:27:03am,Bourbon Control,Riffle,10,0.58,1.75,0,Fine Woody Debris,NA,Yes,3.33,0.5,Sand,Winter Run Chinook,41-50mm,1,NA
11/16/2018,11:18:34am,Bourbon Control,Riffle,10,1.25,3,0.75,Branches - Small Woody Debris,NA,Yes,0,0.5,Cobble,Winter Run Chinook,51-60mm,3,NA
11/16/2018,12:35:06pm,Bourbon Control,Riffle,10,1,11,1,Branches - Small Woody Debris,NA,Yes,0.3,0.5,Gravel,Winter Run Chinook,51-60mm,1,NA
11/16/2018,12:24:54pm,Bourbon Control,Riffle,10,1,4.079999924,0.079999998,Branches - Small Woody Debris,NA,Yes,0,0.6,Cobble,Winter Run Chinook,61-80mm,3,NA
11/16/2018,11:31:23am,Bourbon Control,Riffle,10,0.92,5.5,0.25,Branches - Small Woody Debris,NA,Yes,0,0.7,Cobble,Winter Run Chinook,61-80mm,1,NA
11/16/2018,11:03:05am,Bourbon Control,Riffle,10,2.16,14,0.200000003,Branches - Small Woody Debris,NA,No,0,0.9,Gravel,Winter Run Chinook,61-80mm,2,NA
11/16/2018,11:21:55am,Bourbon Control,Riffle,10,1.16,5.659999847,0,Overhead cover,NA,Yes,0,0.9,Cobble,Rainbow Trout/Steelhead,81-100mm,1,NA
11/16/2018,10:56:58am,Bourbon Control,Flatwater,10,2.76,9,0,Overhead cover,NA,Yes,1.56,1.1,Gravel,Winter Run Chinook,51-60mm,1,NA
11/16/2018,12:30:14pm,Bourbon Control,Riffle,10,0.84,6.5,2.400000095,Branches - Small Woody Debris,NA,Yes,1.16,1.3,Gravel,Rainbow Trout/Steelhead,61-80mm,1,NA
7/25/2019,04:06:11am,Bourbon Control,Riffle,10,1.45,1.8,0,Branches - Small Woody Debris,Yes,Yes,1.7,0.1,Sand,Rainbow Trout/Steelhead,51-60mm,2,overhead
7/25/2019,04:13:55am,Bourbon Control,Pool,10,0.9,4.6,1,Fine Woody Debris,No,Yes,3,0,Gravel,Rainbow Trout/Steelhead,51-60mm,2,no overhead
7/25/2019,04:17:13am,Bourbon Control,Pool,10,0.8,1.5,0,Fine Woody Debris,Yes,Yes,1.5,0,Gravel,Rainbow Trout/Steelhead,41-50mm,35,overhead
7/25/2019,04:20:33am,Bourbon Control,Riffle,10,0.8,1.5,0,Fine Woody Debris,Yes,Yes,1.5,0,Gravel,Rainbow Trout/Steelhead,<41mm,10,overhead
7/25/2019,04:24:43am,Bourbon Control,Riffle,10,0.9,3.3,0,Aquatic Veg,Yes,No,0,0.1,Mud/Organic,Rainbow Trout/Steelhead,<41mm,5,overhead
7/25/2019,04:30:53am,Bourbon Control,Riffle,10,2.6,10.9,0,Aquatic Veg,Yes,Yes,2.6,1,Gravel,Rainbow Trout/Steelhead,101-120mm,2,overhead
7/25/2019,04:56:51am,Bourbon Control,Pool,10,0.6,2.4,0.1,Branches - Small Woody Debris,Yes,Yes,9,0.1,Mud/Organic,Rainbow Trout/Steelhead,<41mm,10,overhead
7/25/2019,05:01:39am,Bourbon Control,Pool,10,0.6,2.4,0.1,Fine Woody Debris,Yes,Yes,9,0.1,Mud/Organic,Rainbow Trout/Steelhead,41-50mm,6,overhead
7/25/2019,05:03:23am,Bourbon Control,Pool,10,0.6,2.4,0.1,Fine Woody Debris,Yes,Yes,9,0.1,Mud/Organic,Rainbow Trout/Steelhead,51-60mm,1,overhead
7/25/2019,05:05:08am,Bourbon Control,Pool,10,0.5,1.3,0.1,Fine Woody Debris,Yes,Yes,9.9,0.1,Sand,Rainbow Trout/Steelhead,<41mm,2,overhead
7/25/2019,05:08:18am,Bourbon Control,Pool,10,0.8,1.4,0.2,Fine Woody Debris,Yes,No,0,0,Sand,Rainbow Trout/Steelhead,51-60mm,1,overhead
7/25/2019,05:13:42am,Bourbon Control,Pool,10,1.1,1.3,0.25,Branches - Small Woody Debris,Yes,Yes,1.2,0.1,Sand,Rainbow Trout/Steelhead,51-60mm,1,overhead
7/25/2019,05:40:07am,Bourbon Control,Riffle,10,0.6,2,0,Fine Woody Debris,Yes,No,0,0,Mud/Organic,Rainbow Trout/Steelhead,<41mm,3,overhead
7/25/2019,05:48:27am,Bourbon Control,Riffle,10,0.9,2.8,0,Fine Woody Debris,Yes,No,0,0,Sand,Rainbow Trout/Steelhead,<41mm,2,overhead
7/25/2019,05:53:19am,Bourbon Control,Riffle,10,0.5,2.6,0,Aquatic Veg,Yes,Yes,0.8,0.8,Gravel,Rainbow Trout/Steelhead,41-50mm,1,overhead
7/25/2019,05:56:54am,Bourbon Control,Riffle,10,0.5,0.7,0,Aquatic Veg,Yes,Yes,2.3,0.2,Mud/Organic,Rainbow Trout/Steelhead,<41mm,2,overhead
7/25/2019,06:00:50am,Bourbon Control,Riffle,10,0.9,3,0.3,Branches - Small Woody Debris,No,Yes,1.7,0.5,Sand,Rainbow Trout/Steelhead,41-50mm,14,no overhead
7/25/2019,06:25:47am,Bourbon Control,Flatwater,10,1,4.2,2.2,Branches - Small Woody Debris,No,Yes,3,0,Mud/Organic,Rainbow Trout/Steelhead,41-50mm,9,no overhead
7/25/2019,06:30:56am,Bourbon Control,Flatwater,10,1.1,1.2,0,Aquatic Veg,Yes,Yes,1.5,0.1,Mud/Organic,Rainbow Trout/Steelhead,61-80mm,4,overhead
7/25/2019,06:34:52am,Bourbon Control,Flatwater,10,1.1,1.2,0,Aquatic Veg,Yes,Yes,1.5,0.1,Mud/Organic,Rainbow Trout/Steelhead,51-60mm,10,overhead
7/25/2019,06:36:42am,Bourbon Control,Flatwater,10,1.1,1.2,0,Aquatic Veg,yes,Yes,1.5,0.1,Mud/Organic,Late Fall Run Run Chinook,41-50mm,5,overhead
7/25/2019,06:38:07am,Bourbon Control,Flatwater,10,1.2,0.8,0.5,Branches - Small Woody Debris,Yes,Yes,3,0.2,Mud/Organic,Rainbow Trout/Steelhead,51-60mm,2,overhead
7/25/2019,06:41:48am,Bourbon Control,Flatwater,10,0.75,2.7,2,Branches - Small Woody Debris,No,Yes,1.6,0.1,Sand,Rainbow Trout/Steelhead,<41mm,1,no overhead
7/25/2019,07:17:25am,Bourbon Control,Riffle,10,1.4,1.2,0.8,Undercut Bank,Yes,Yes,0.3,0.5,Gravel,Rainbow Trout/Steelhead,41-50mm,7,overhead
7/25/2019,07:21:35am,Bourbon Control,Riffle,10,1.45,2.6,0.8,Aquatic Veg,Yes,Yes,0,0.3,Cobble,Rainbow Trout/Steelhead,41-50mm,10,overhead
7/25/2019,07:25:33am,Bourbon Control,Riffle,10,1.2,3.3,0.3,Branches - Small Woody Debris,Yes,Yes,0,0.2,Cobble,Rainbow Trout/Steelhead,61-80mm,8,overhead
7/25/2019,07:29:05am,Bourbon Control,Riffle,10,1,4.6,0,Branches - Small Woody Debris,Yes,Yes,1.2,0.1,Sand,Rainbow Trout/Steelhead,51-60mm,8,overhead
7/25/2019,07:34:57am,Bourbon Control,Riffle,10,0.55,1.5,0,Aquatic Veg,Yes,No,0,0,Mud/Organic,Rainbow Trout/Steelhead,51-60mm,3,overhead
7/25/2019,07:37:36am,Bourbon Control,Riffle,10,0.55,1.5,0,Aquatic Veg,Yes,No,0,0,Mud/Organic,Rainbow Trout/Steelhead,41-50mm,5,overhead
7/25/2019,07:39:10am,Bourbon Control,Riffle,10,0.7,2.2,0,Branches - Small Woody Debris,Yes,No,0,0,Mud/Organic,Rainbow Trout/Steelhead,41-50mm,2,overhead
7/25/2019,07:41:25am,Bourbon Control,Riffle,10,0.7,2.2,0,Branches - Small Woody Debris,Yes,No,0,0,Mud/Organic,Rainbow Trout/Steelhead,<41mm,2,overhead
7/25/2019,07:42:58am,Bourbon Control,Riffle,10,0.7,6,0,Branches - Small Woody Debris,No,No,0,0,Mud/Organic,Rainbow Trout/Steelhead,41-50mm,1,no overhead
7/25/2019,07:44:43am,Bourbon Control,Riffle,10,1.2,7.3,0,Branches - Small Woody Debris,No,No,0,0,Mud/Organic,Rainbow Trout/Steelhead,<41mm,1,no overhead
7/25/2019,07:46:24am,Bourbon Control,Riffle,10,1.6,7.9,0,Fine Woody Debris,No,No,0,0,Mud/Organic,Rainbow Trout/Steelhead,51-60mm,1,no overhead
7/25/2019,07:48:22am,Bourbon Control,Riffle,10,0.9,3.8,1,Aquatic Veg,Yes,No,0,0,Mud/Organic,Fall Run Chinook,61-80mm,1,overhead
7/25/2019,07:51:01am,Bourbon Control,Riffle,10,0.9,3.8,1,Aquatic Veg,Yes,No,0,0,Mud/Organic,Rainbow Trout/Steelhead,51-60mm,5,overhead
7/25/2019,07:52:19am,Bourbon Control,Riffle,10,0.9,3.8,1,Aquatic Veg,Yes,No,0,0,Mud/Organic,Rainbow Trout/Steelhead,61-80mm,1,overhead
1/2/2020,03:34:09am,Bourbon Control,Riffle,10,0.4,0.9,0.3,Fine Woody Debris,Yes,Yes,0,0.06,Sand,Rainbow Trout/Steelhead,51-60mm,3,overhead
1/2/2020,03:42:10am,Bourbon Control,Riffle,10,0.3,0.5,0,Fine Woody Debris,yes,Yes,0,0,Sand,Rainbow Trout/Steelhead,51-60mm,1,overhead
1/2/2020,03:46:00am,Bourbon Control,Riffle,10,1,1.1,0,Fine Woody Debris,Yes,Yes,4,0.04,Sand,Winter Run Chinook,61-80mm,1,overhead
1/2/2020,03:54:11am,Bourbon Control,Riffle,10,1.1,2.8,1,Branches - Small Woody Debris,Yes,Yes,0,0.2,Cobble,Fall Run Chinook,41-50mm,2,overhead
1/2/2020,03:59:04am,Bourbon Control,Riffle,10,1.1,2.8,1,Branches - Small Woody Debris,Yes,Yes,0,0.2,Cobble,Winter Run Chinook,61-80mm,4,overhead
1/2/2020,04:25:12am,Bourbon Control,Riffle,10,3.95,9.7,0,Fine Woody Debris,Yes,Yes,0,0.5,Cobble,Winter Run Chinook,61-80mm,3,overhead
1/2/2020,04:30:16am,Bourbon Control,Riffle,10,3.95,9.7,0,Fine Woody Debris,Yes,Yes,0,0.5,Cobble,Winter Run Chinook,81-100mm,4,overhead
1/2/2020,04:31:54am,Bourbon Control,Riffle,10,3.95,9.7,0,Fine Woody Debris,Yes,Yes,0,0.5,Cobble,Rainbow Trout/Steelhead,81-100mm,1,overhead
1/2/2020,04:33:53am,Bourbon Control,Riffle,10,2.7,4,0,Branches - Small Woody Debris,Yes,Yes,0,0.1,Cobble,Fall Run Chinook,<41mm,1,overhead
1/2/2020,04:36:38am,Bourbon Control,Riffle,10,0.6,5,0.5,Aquatic Veg,No,Yes,0.1,0,Gravel,Fall Run Chinook,<41mm,12,no overhead
1/2/2020,04:39:31am,Bourbon Control,Riffle,10,1,18.8,0.4,Fine Woody Debris,No,Yes,0.2,0.8,Cobble,Winter Run Chinook,81-100mm,1,no overhead
1/2/2020,04:47:00am,Bourbon Control,Riffle,10,0.4,6,2.4,Fine Woody Debris,No,Yes,0.6,0.1,Gravel,Fall Run Chinook,<41mm,8,no overhead
1/2/2020,04:56:38am,Bourbon Control,Pool,10,1.05,5.2,0.1,Aquatic Veg,No,Yes,0.3,0,Gravel,Fall Run Chinook,41-50mm,1,no overhead
1/2/2020,04:59:16am,Bourbon Control,Pool,10,0.5,1.2,0,Aquatic Veg,Yes,Yes,0.5,0.1,Gravel,Rainbow Trout/Steelhead,51-60mm,1,overhead
1/2/2020,05:06:25am,Bourbon Control,Pool,10,0.8,2.2,0.2,Branches - Small Woody Debris,Yes,Yes,1.8,0,Gravel,Rainbow Trout/Steelhead,51-60mm,6,overhead
