location_type,habitat_type,fish_type,fork_length_mm,weight_g,condition_factor,date,side_channel,control_impact,channel_status
Mainstem,Down Mainstem,WR,52,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,WR,52,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Up Mainstem,WR,56,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,WR,56,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,WR,56,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,WR,56,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,WR,57,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,WR,57,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,WR,57,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,WR,57,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,WR,57,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,WR,58,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,WR,60,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,WR,63,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,WR,63,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Mainstem,Down Mainstem,WR,69,NA,NA,12/17/2018,N. Cypress,Impact,Mainstem
Side Channel,Pool,FR,30,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,30,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,31,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,32,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,32,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,32,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Flatwater,FR,32,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Riffle,FR,33,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,34,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,34,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,34,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,34,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,34,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,34,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,34,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,34,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,34,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,34,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,34,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,34,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,34,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,34,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Riffle,FR,34,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,35,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,35,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,35,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,35,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,35,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,35,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,36,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,36,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,36,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,36,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,36,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,37,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,37,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,37,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,SR,38,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,SR,42,NA,NA,12/17/2018,N. Cypress,Impact,Post-restoration side channel
Side Channel,Pool,FR,33,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,FR,34,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,FR,34,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Pool,FR,35,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,FR,35,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,FR,35,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,FR,35,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,FR,35,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,FR,35,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,FR,35,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Flatwater,FR,36,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,FR,36,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,FR,36,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,FR,36,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,FR,36,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,FR,36,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Pool,FR,37,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,FR,37,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,FR,37,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,SR,38,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,SR,38,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,SR,38,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,SR,39,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,SR,40,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,SR,41,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,SR,42,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,SR,48,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,SR,48,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,SR,49,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,SR,50,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,53,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,54,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,54,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,56,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,56,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,57,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,57,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,57,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,58,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,58,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,59,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,59,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,59,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,60,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,61,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,61,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,62,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,63,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,63,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,63,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,64,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,64,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,65,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,65,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,67,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,68,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,69,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,71,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Side Channel,Riffle,WR,74,NA,NA,12/19/2018,Wyndham,Control,Control side channel
Mainstem,Up Mainstem,FR,30,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,30,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,32,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,33,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,34,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,34,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,34,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,35,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,35,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,35,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,35,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,35,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,35,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,35,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,35,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Down Mainstem,FR,35,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Down Mainstem,FR,35,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,36,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,36,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,36,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,36,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,36,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,36,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,36,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,36,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,36,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,36,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,36,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,36,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,36,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,FR,38,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Up Mainstem,SR,38,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Mid Mainstem,WR,56,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Mainstem,Down Mainstem,WR,70,NA,NA,12/19/2018,Wyndham,Control,Mainstem
Side Channel,Flatwater,FR,33,NA,NA,12/20/2018,Bourbon,Control,Control side channel
Mainstem,Down Mainstem,FR,30,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,30,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,30,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,30,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,31,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,31,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,31,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,31,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,32,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,32,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,32,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,32,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,32,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,32,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,32,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,32,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,33,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,33,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,33,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,34,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,34,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,34,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,34,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,35,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,FR,35,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Down Mainstem,WR,62,NA,NA,12/20/2018,Bourbon,Control,Mainstem
Mainstem,Mid Mainstem,FR,33,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Up Mainstem,FR,35,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,FR,35,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,FR,35,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,FR,35,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Down Mainstem,FR,35,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Mid Mainstem,FR,35,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Up Mainstem,FR,36,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Mid Mainstem,FR,36,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Down Mainstem,FR,36,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Down Mainstem,FR,36,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,FR,38,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Mid Mainstem,FR,38,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,SR,39,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,SR,41,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,SR,46,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,SR,46,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,SR,47,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,SR,48,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,SR,51,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,WR,52,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,WR,52,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Mid Mainstem,WR,52,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,WR,53,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,WR,53,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,WR,54,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,WR,54,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,WR,55,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,WR,57,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,WR,58,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,WR,58,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,WR,61,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,WR,63,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,WR,64,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Mainstem,Roving,WR,75,NA,NA,12/20/2018,Lake California,Impact,Mainstem
Side Channel,Pool,FR,32,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Pool,FR,32,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Flatwater,FR,34,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Pool,FR,34,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Pool,FR,34,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Roving,FR,34,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Roving,FR,34,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Pool,FR,35,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Pool,FR,35,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Pool,FR,35,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Pool,FR,35,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Pool,FR,35,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Pool,FR,35,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Roving,FR,35,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Roving,FR,35,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Pool,FR,36,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Pool,FR,36,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Roving,FR,36,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Roving,FR,36,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Roving,FR,36,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Roving,FR,37,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Pool,FR,38,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Pool,FR,38,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Roving,FR,38,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Roving,SR,39,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Roving,SR,49,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Roving,SR,51,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Roving,WR,56,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Roving,WR,58,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Roving,WR,58,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Roving,WR,59,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Roving,WR,60,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
Side Channel,Roving,WR,60,NA,NA,12/20/2018,Lake California,Impact,Post-restoration side channel
